buildNo,shortVIN,date,extColor,intColor,trans
143,VM13658,2012-8-23,Carbon Black,Black,M6
144,VM13659,2012-8-24,Sapphire Black,Blk/Blue,DCT
145,VM13660,2012-8-25,Carbon Black,Oyster,DCT
146,VM13661,2012-8-26,Titanium Silver,Coral,DCT
147,VM13663,2012-8-27,Deep Sea Blue,Black,M6
148,VM13667,2012-8-28,Vermillion Red,Coral,DCT
149,VM13668,2012-8-29,LeMans Blue,Blk/Blue,M6
150,VM13672,2012-8-30,Jet Black,Black,DCT
151,VM13673,2012-8-31,Alpine White,Black,M6
152,VM13685,2012-9-1,Alpine White,Coral,DCT
153,VM13688,2012-9-2,Sapphire Black,Blk/Blue,DCT
154,VM13695,2012-9-3,Carbon Black,Blk/Blue,M6
155,VM13697,2012-9-4,Mineral Gray,Coral,M6
156,VM13698,2012-9-5,Mineral Gray,Blk/Blue,DCT
157,VM13700,2012-9-6,Alpine White,Coral,DCT
158,VM13705,2012-9-7,LeMans Blue,Blk/Blue,M6
159,VM13706,2012-9-8,Space Gray,Oyster,M6
160,VM13712,2012-9-9,Mineral Gray,Black,DCT
161,VM13713,2012-9-10,Space Gray,Coral,DCT
162,VM13714,2012-9-11,Mineral Gray,Coral,DCT
163,VM13718,2012-9-12,Alpine White,Blk/Blue,DCT
164,VM13722,2012-9-13,Alpine White,Black,DCT
165,VM13723,2012-9-14,Alpine White,Blk Sensatec,DCT
166,VM13732,2012-9-15,Carbon Black,Oyster,DCT
167,VM13736,2012-9-16,Alpine White,Coral,DCT
168,VM13738,2012-9-17,Carbon Black,Blk/Blue,DCT
169,VM13739,2012-9-18,Alpine White,Black,DCT
170,VM13743,2012-9-19,Space Gray,Taupe,M6
171,VM13744,2012-9-20,Titanium Silver,Coral,DCT
172,VM13745,2012-9-21,LeMans Blue,Blk/Blue,DCT
173,VM13751,2012-9-22,Mineral Gray,Blk/Blue,M6
174,VM13759,2012-9-23,LeMans Blue,Blk/Blue,M6
175,VM13765,2012-9-24,Deep Sea Blue,Beige,DCT
176,VM13767,2012-9-25,Alpine White,Blk/Blue,M6
177,VM13770,2012-9-26,Mineral Gray,Coral,DCT
178,VM13771,2012-9-27,Carbon Black,Coral,DCT
179,VM13773,2012-9-28,Jet Black,Blk Sensatec,DCT
180,VM13776,2012-9-29,Space Gray,Coral,M6
181,VM13777,2012-9-30,Sapphire Black,Blk/Blue,DCT
182,VM13781,2012-10-1,Alpine White,Blk/Blue,M6
183,VM13784,2012-10-2,Blue Water,Beige,M6
184,VM13786,2012-10-3,Alpine White,Black,M6
185,VM13791,2012-10-4,LeMans Blue,Oyster,M6
186,VM13792,2012-10-5,Carbon Black,Blk/Blue,M6
187,VM13794,2012-10-6,Carbon Black,Black,DCT
188,VM13795,2012-10-7,Alpine White,Black,DCT
189,VM13796,2012-10-8,Alpine White,Blk/Blue,M6
190,VM13797,2012-10-9,Alpine White,Coral,DCT
191,VM13799,2012-10-10,Titanium Silver,Blk Sensatec,M6
192,VM13800,2012-10-11,LeMans Blue,Blk/Blue,DCT
193,VM13804,2012-10-12,Mineral Gray,Coral,DCT
194,VM13807,2012-10-13,Alpine White,Black,DCT
195,VM13811,2012-10-14,Jet Black,Blk/Blue,M6
